"Date","US(CDC)"
2023-12-31,0
2024-01-07,2
2024-01-14,5
2024-01-21,3
2024-01-28,3
2024-02-04,5
2024-02-11,3
2024-02-18,4
2024-02-25,0
2024-03-03,5
2024-03-10,1
2024-03-17,4
2024-03-24,4
2024-03-31,4
2024-04-07,3
2024-04-14,3
2024-04-21,0
2024-04-28,2
2024-05-05,1
2024-05-12,1
2024-05-19,2
2024-05-26,0
2024-06-02,2
2024-06-09,2
2024-06-16,0
2024-06-23,0
2024-06-30,1
2024-07-07,0
2024-07-14,0
2024-07-21,2
2024-07-28,0
2024-08-04,1
2024-08-11,2
2024-08-18,1
2024-08-25,2
2024-09-01,2
2024-09-08,0
2024-09-15,0
2024-09-22,3
2024-09-29,3
